Common names	Genus	Colors	Petals	Petal edge	Size	Flower shape	Tree?	Description
evergreen candytuft	Iberis	white	many	rounded square	small	cluster	no	Candytuft! What a delightful name for a delightful flower. There is something immensely satisfying (but also frightening) about a cluster of flowers so thick you can't see any green. 
scarlet globemallow	Sphaeralcea	orange	5	notched	small	bowl	no	Not totally scarlet, globular, or mallow-y, this nonetheless pleasant wildflower is also known as "cowboy's delight." In late spring you can see large patches of these on drier hills in Utah, whether or not you're on horseback.
spreading phlox	Phlox	pink	5	round;rounded square	small	flat	no	These flowers really do spread—you can catch them in enormous patches in shady areas pretty easily, because they can't run.
Sarah Bernhardt peony	Paeonia	pink	many	notched;ruffled	large	carnation-like	no	This enormous, gorgeous flower is like a giant cross between a carnation and a rose.
showy milkweed	Asclepias	pink	5	pointy	large	ball	no	As far as I can tell, the show this flower's putting on is called "Ball of starfish."
tapertip onion	Allium	purple	many	pointy	small	ball	no	Also called Hooker's onion, this plant is allegedly quite delicious. 
Colorado blue columbine	Aquilegia	white	5	round	medium	star	no	I'm not completely sure that I've identified these flowers correctly, but I do know they're columbines—you can tell because they have funky little tails coming out the back (called "spurs").
smoothstem blazingstar	Mentzelia	yellow	5	pointy	large	star	no	This is one of my favorite wildflowers. I love its extravagant name! In early summer, you can find small shrubs in bloom with these highlighter-yellow flowers—act quick, though, because those shrubs will quickly dry out into sad skeletons.
chicory	Cichorium	purple	many	notched	small	daisy-like	no	This elusive purple-blue wildflower is a joy to spot! It's rather hard to pick off individual flowers, so I might recommend stealing the entire bush.
natal plum	Carissa	white	5	round	medium	star	no	These elegant stars are a perfect fit for beachside stroll aesthetics.
purple morning glory	Ipomoea	purple	5	notched	medium	trumpet	no	These are much more eye-catching than the pale pink morning glory that is slowly eating away my hometown.
Texas lantana	Lantana	yellow;orange	4	notched;round	small	cluster	no	Lantana is a common choice for city-street flowerpots. I love its colorful clusters, but I'm still not sure how many petals it has.
lion's tail	Leonotis	orange	many	fuzzy	small	cluster	no	This flower is also called "wild dagga," which sounds like a useful survival tool.
globe amaranth	Gomphrena	pink;purple	many	pointy;notched	small	ball	no	Wow! These vibrant blooms are extra cool when you look at them close up. At some point I'll add support for multiple photos on this site so you can have that experience.
balloon flower	Platycodon	purple	5	pointy	large	star	no	Strangely, these might be the least balloon-looking flowers I've ever seen.
toad lily	Tricyrtis	white;purple	6	round	small	star	no	I love these funky gems! They are NOTHING like toads!
dahlia	Dahlia	pink	many	round;notched	large	ball	no	A classy, easily recognizable flower with a name you could comfortably use on your kid.
fire vine	Ipomoea	red;orange;yellow	5	none	small	stalk	no	Also known as Spanish flag and firecracker vine, this silly flower brings to mind a pile of happy toucans!
bluemink	Ageratum	purple	many	pointy	small	cluster	no	I'm a huge fan of this flower's name, which seems like it came from a lazy guy trying to get out of his hunting duties back in the days when the color purple hadn't been invented yet. "I'm gonna go look for blue mink!" or something. You can also call it "flossflower."
crested cockscomb	Celosia	red;pink	many	ruffled	large	ruffle	no	I'm a little upset by this one because it's hard to categorize and looks way too much like a brain.
white campion	Silene	white	5	notched	small	gourd	no	When I look at these I imagine the taste of wintermelon, a vegetable I hate.
lanceleaf liveforever	Dudleya	red;orange;yellow	6	pointy	small	stalk	no	I think everything to know about this flower is included in its absurdly original name, the most flagrant offender I've seen of flower-namer-people Just Making Up Words since "smoothstem blazingstar."
seafoam statice	Limonium	purple;white	5	round;notched	small	cluster	no	A lovely cluster also known as Perez's sea lavender—take a moment to spot the intermittent little white flowers!
verbena	Verbena	purple	5	notched	small	cluster	no	It's a ball of flowers, hiding a fuzzy little secret...
